Α/Α,Ως...,"θα ήθελα...",ώστε...
15,οδηγός,"πιο προσεγμένους δρόμους","το αυτοκίνητό μου να έχει μικρότερη φθορά"
14,πεζός,"μεγαλύτερα πεζοδρόμια","να μπορώ να περπατώ πιο άνετα στην πόλη"
